waktu,brand,retail,production,sale
2016-10-01,MITSUBISHI,8469,4660,6709
2016-10-01,SUZUKI,7645,9047,7200
2016-10-01,TOYOTA,34499,49887,33993
2016-11-01,DAIHATSU,17237,19666,20107
2016-11-01,HONDA,16376,15743,15324
2016-11-01,MITSUBISHI,8516,4975,6601
2016-11-01,SUZUKI,8516,8436,8568
2016-11-01,TOYOTA,36755,54098,40426
2016-12-01,DAIHATSU,22733,16327,16462
2016-12-01,HONDA,19453,14819,13244
2016-12-01,MITSUBISHI,8828,3355,6061
2016-12-01,SUZUKI,11324,7933,9411
2016-12-01,TOYOTA,36771,43067,31840
2017-01-01,DAIHATSU,14426,16443,15826
2017-01-01,HONDA,10627,16229,16896
2017-01-01,MITSUBISHI,8517,6098,7982
2017-01-01,SUZUKI,7002,7818,7119
2017-01-01,TOYOTA,31226,46840,32377
2017-02-01,DAIHATSU,14293,17563,17755
2017-02-01,HONDA,13084,15712,16284
2017-02-01,MITSUBISHI,8483,6812,9069
2017-02-01,SUZUKI,7011,10525,8069
2017-02-01,TOYOTA,29281,50241,36147
2017-03-01,DAIHATSU,15341,15881,16149
2017-03-01,HONDA,19500,17766,19837
2017-03-01,MITSUBISHI,9809,6994,8868
2017-03-01,SUZUKI,8280,10774,9216
2017-03-01,TOYOTA,33212,53507,38656
2017-04-01,DAIHATSU,15015,15138,15535
2017-04-01,HONDA,12062,15560,14678
2017-04-01,MITSUBISHI,6906,6493,8039
2017-04-01,SUZUKI,7506,9816,10152
2017-04-01,TOYOTA,30407,49009,33328
2017-05-01,DAIHATSU,16108,15299,15613
2017-05-01,HONDA,16407,17364,16723
2017-05-01,MITSUBISHI,10090,7124,11217
2017-05-01,SUZUKI,9752,10128,9207
2017-05-01,TOYOTA,33809,49360,32806
2017-06-01,DAIHATSU,13903,13262,13409
2017-06-01,HONDA,14819,7955,8843
2017-06-01,MITSUBISHI,8241,5563,7859
2017-06-01,SUZUKI,8501,7147,8001
2017-06-01,TOYOTA,27789,35109,21974
2017-07-01,DAIHATSU,14314,14382,14618
2017-07-01,HONDA,14365,12420,12677
2017-07-01,MITSUBISHI,8478,7151,8345
2017-07-01,SUZUKI,9747,7997,10126
2017-07-01,TOYOTA,29868,46568,31621
2017-08-01,DAIHATSU,15890,15597,15821
2017-08-01,HONDA,15027,18335,17690
2017-08-01,MITSUBISHI,9876,8908,9185
2017-08-01,SUZUKI,10008,8860,10035
2017-08-01,TOYOTA,29949,50068,34690
2017-09-01,DAIHATSU,14940,15307,15507
2017-09-01,HONDA,14696,14266,15112
2017-09-01,MITSUBISHI,12150,10418,10934
2017-09-01,SUZUKI,9028,9200,9126
2017-09-01,TOYOTA,26621,42825,27251
2017-10-01,DAIHATSU,15622,16552,16760
2017-10-01,HONDA,13520,16282,17023
2017-10-01,MITSUBISHI,10529,11834,11831
2017-10-01,SUZUKI,9018,11559,9594
2017-10-01,TOYOTA,29321,48919,29979
2017-11-01,DAIHATSU,16003,16148,16360
2017-11-01,HONDA,16341,16432,15811
2017-11-01,MITSUBISHI,14124,14494,15291
2017-11-01,SUZUKI,10032,12030,11007
2017-11-01,TOYOTA,33644,46376,28797
2017-12-01,DAIHATSU,19385,12934,13028
2017-12-01,HONDA,20523,13176,15285
2017-12-01,MITSUBISHI,14785,10236,12775
2017-12-01,SUZUKI,11300,10539,10008
2017-12-01,TOYOTA,34888,33665,23706
2018-01-01,DAIHATSU,15896,18803,17470
2018-01-01,HONDA,13764,16287,13216
2018-01-01,MITSUBISHI,16057,20718,32442
2018-01-01,SUZUKI,10614,10818,10522
2018-01-01,TOYOTA,28495,40726,21092
2018-02-01,DAIHATSU,15333,15453,14607
2018-02-01,HONDA,14002,9361,11798
2018-02-01,MITSUBISHI,16022,16882,32224
2018-02-01,SUZUKI,8520,10937,10632
2018-02-01,TOYOTA,27774,39756,23452
2018-03-01,DAIHATSU,17091,16988,15906
2018-03-01,HONDA,16323,9695,10675
2018-03-01,MITSUBISHI,20966,17542,34218
2018-03-01,SUZUKI,10020,12061,8818
2018-03-01,TOYOTA,30293,44060,26356
2018-04-01,DAIHATSU,16560,18799,17744
2018-04-01,HONDA,14149,16170,16516
2018-04-01,MITSUBISHI,14856,16396,32222
2018-04-01,SUZUKI,9448,9459,8196
2018-04-01,TOYOTA,30076,47035,23992
2018-05-01,DAIHATSU,18061,17664,16506
2018-05-01,HONDA,14613,14549,13963
2018-05-01,MITSUBISHI,17134,17172,29052
2018-05-01,SUZUKI,11355,11662,11521
2018-05-01,TOYOTA,32979,43544,23548
2018-06-01,DAIHATSU,12359,6639,6011
2018-06-01,HONDA,11600,7043,8859
2018-06-01,MITSUBISHI,11227,11710,17426
2018-06-01,SUZUKI,7519,8244,6686
2018-06-01,TOYOTA,22002,30570,15629
2018-07-01,DAIHATSU,16219,17790,16452
2018-07-01,HONDA,12675,14778,15048
2018-07-01,MITSUBISHI,17919,21516,34688
2018-07-01,SUZUKI,10509,13775,9284
2018-07-01,TOYOTA,31605,51774,30746
2018-08-01,DAIHATSU,17007,17382,16233
2018-08-01,HONDA,13323,14474,14568
2018-08-01,MITSUBISHI,17172,20043,30676
2018-08-01,SUZUKI,10479,10108,9827
2018-08-01,TOYOTA,30273,48811,27352
